Item #,Quantity On Hand,Updated Qty,Item,Item Description,Color,Size,Team,Division/Logo,Date of Last Use,Category,Thumbnail,Image
CUP1326   ,19,19,GIFT BAG,"10" X 8", BLACK, GLOSSY""0" X 8", BLACK, GLOS""" X 8", BLACK, GLO"" X 8", BLACK, GLO""X 8", BLACK,"" 8", BLA""8", B""", "", ",BLACK,"10" X 8"""0" X """ X"" X",,,7/12/10,Miscellaneous,Untitled_files/thumbails/247.jpg,Untitled_files/fullsize/247.jpg
CUP1328   ,"7,825","7,954",PLASTIC BALL SPOTTER,"BLACK, FEDEXCUP",BLACK,,,,7/5/13,Hospitality Supplies,Untitled_files/thumbails/135.jpg,Untitled_files/fullsize/135.jpg
CUP1329   ,9,10,FISH BOWL,"ROUND, 10 3/4" X 9 1/2" WITH LID""OUND, 10 3/4" X 9 ""UND, ",,,,,8/21/14,Hospitality Supplies,Untitled_files/thumbails/205.jpg,Untitled_files/fullsize/205.jpg
CUP1330   ,27,27,PUTTING CUP/COASTER,"WHITE, FEDEXCUP",WHITE,,,,8/12/10,Donations,Untitled_files/thumbails/426.jpg,Untitled_files/fullsize/426.jpg
CUP1333   ,7,7,TABLECLOTH,"24" X 48", BLACK, SPANDEX""4" X 48", BLACK, SPAND""" X 48", BLACK, SPAN"" X 48", BLACK, SPAN""X 48", BLACK,"" 48", BL""48",""8",BLACK,"24" x 48"""4" x 4""" x "" x ",,,3/2/11,Hospitality Supplies,Untitled_files/thumbails/330.jpg,Untitled_files/fullsize/330.jpg
CUP1334   ,19,19,TABLECLOTH,"30", BLACK, ROUND, SPANDEX""0", BLACK, ROUND, SPAND""", BLACK, ROUND, SPAN"", BLACK, ROUND, SPAN",BLACK,"30"""",,,5/16/16,Hospitality Supplies,Untitled_files/thumbails/318.jpg,Untitled_files/fullsize/318.jpg
CUP1335   ,51,50,CHAIR COVER,"BLACK, SPANDEX",BLACK,,,,7/12/10,Hospitality Supplies,Untitled_files/thumbails/325.jpg,Untitled_files/fullsize/325.jpg
CUP1337   ,8,9,"POLO, MEN'S","MD, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",OLYMPIC BLUE,MD,,,3/27/15,Donations,Untitled_files/thumbails/325.jpg,Untitled_files/fullsize/325.jpg
CUP1338   ,19,19,"POLO, MEN'S","LG, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",OLYMPIC BLUE,LG,,,6/26/13,Donations,Untitled_files/thumbails/886.jpg,Untitled_files/fullsize/886.jpg
CUP1339   ,19,19,"POLO, MEN'S","XL, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",OLYMPIC BLUE,XL,,,1/18/12,Donations,Untitled_files/thumbails/886.jpg,Untitled_files/fullsize/886.jpg
CUP1340   ,4,4,"POLO, MEN'S","2XL, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",OLYMPIC BLUE,2XL,,,5/19/15,Donations,Untitled_files/thumbails/886.jpg,Untitled_files/fullsize/886.jpg
CUP1355   ,3,3,"POLO, LADIES","XL, OLYMPIC BLUE, CALLAWAY DRY SPORT, FEDEXCUP",OLYMPIC BLUE,XL,,,3/26/08,Donations,Untitled_files/thumbails/439.jpg,Untitled_files/fullsize/439.jpg
