Item #,Quantity On Hand,Item,Item Description,,Color,Size,Date of Last Use
CUP1655   ,10,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",Donations,CARDINAL,2XL,4/17/14
CUP1662   ,11,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",Donations,YELLOW,MD,2/8/16
CUP1663   ,28,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",Donations,YELLOW,LG,11/10/11
CUP1664   ,28,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",Donations,YELLOW,XL,6/29/12
CUP1665   ,13,POLO,"TEXTURED JACQUARD, GREG NORMAN, FEDEXCUP",Donations,YELLOW,2XL,9/3/10
CUP1673   ,1,POLO,"STRIPED, GREG NORMAN, FEDEXCUP",Donations,WHITE,LG,9/5/13
CUP1674   ,28,POLO,"STRIPED, GREG NORMAN, FEDEXCUP",Donations,WHITE,XL,3/6/12
CUP1684   ,5,POLO,"STRIPED, GREG NORMAN, FEDEXCUP",Donations,NAVY,XL,2/8/13
CUP1821   ,7,POLO,GRAY: CRAZY BRAND: FESJC LOGO: SM,Donations,,SM,1/20/12
CUP1822   ,7,POLO,GRAY: CRAZY BRAND: FESJC LOGO: M,Donations,,M,1/29/14
CUP1823   ,19,POLO,GRAY: CRAZY BRAND: FESJC LOGO: LG,Donations,,LG,1/20/12
CUP1824   ,11,POLO,GRAY: CRAZY BRAND: FESJC LOGO: XL,Donations,,XL,6/10/14
CUP1873   ,3,POLO,LADIES' NIKE GOLF ELITE DRI FIT OTTOMAN: VIBRANT BLUE: FEDEXCUP: LG,Donations,VIBRANT BLUE,LG,3/2/16
CUP1874   ,3,POLO,LADIES' NIKE GOLF ELITE DRI FIT OTTOMAN: VIBRANT BLUE: FEDEXCUP: XL,Donations,VIBRANT BLUE,XL,7/18/13
CUP1881   ,3,POLO,LADIES' NIKE GOLF ELITE DRI FIT OTTOMAN: BLACK: FEDEXCUP: SM,Donations,BLACK,SM,7/10/13
CUP1884   ,2,POLO,LADIES' NIKE GOLF ELITE DRI FIT OTTOMAN: BLACK: FEDEXCUP: XL,Donations,BLACK,XL,7/18/13
CUP1071   ,10,"POLO, LADIES","SM, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",Donations,SLATE/NAVY,SM,2/18/11
CUP1072   ,2,"POLO, LADIES","MD, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",Donations,SLATE/NAVY,MD,2/18/11
CUP1074   ,9,"POLO, LADIES","XL, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",Donations,SLATE/NAVY,XL,8/12/10
CUP1075   ,12,"POLO, LADIES","2XL, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",Donations,SLATE/NAVY,2XL,5/17/12
CUP1272   ,9,"POLO, LADIES","SM, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",Donations,WHITE,SM,9/5/13
CUP1273   ,4,"POLO, LADIES","MD, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",Donations,WHITE,MD,9/5/13
CUP1274   ,11,"POLO, LADIES","LG, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",Donations,WHITE,LG,8/23/13
CUP1275   ,9,"POLO, LADIES","XL, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",Donations,WHITE,XL,8/23/13
CUP1355   ,3,"POLO, LADIES","XL, OLYMPIC BLUE, CALLAWAY DRY SPORT, FEDEXCUP",Donations,OLYMPIC BLUE,XL,3/26/08
CUP1062   ,18,"POLO, MEN'S","MD, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",Donations,SLATE/NAVY,MD,7/7/11
CUP1064   ,42,"POLO, MEN'S","XL, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",Donations,SLATE/NAVY,XL,2/8/13
CUP1065   ,31,"POLO, MEN'S","2XL, SLATE/NAVY, NIKE, 1-C LOGO ON LEFT CHEST",Donations,SLATE/NAVY,2XL,5/28/14
CUP1270   ,3,"POLO, MEN'S","XL, WHITE, FAIRWAY & GREENE, FEDEX CUP/PGA",Donations,WHITE,XL,11/4/13
CUP1337   ,8,"POLO, MEN'S","MD, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",Donations,OLYMPIC BLUE,MD,3/27/15
CUP1338   ,19,"POLO, MEN'S","LG, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",Donations,OLYMPIC BLUE,LG,6/26/13
CUP1339   ,19,"POLO, MEN'S","XL, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",Donations,OLYMPIC BLUE,XL,1/18/12
CUP1340   ,4,"POLO, MEN'S","2XL, OLYMPIC BLUE, CALLAWAY DRYSPORT, FEDEXCUP",Donations,OLYMPIC BLUE,2XL,5/19/15
CUP1365   ,20,"POLO, MEN'S","LG, STRIPE OLYMPIC BLUE/NAVY, CALLAWAY DRYSPORT, FEDEXCUP",Donations,BLUE STRIPE,LG,8/9/16
CUP1366   ,7,"POLO, MEN'S","XL, STRIPE OLYMPIC BLUE/NAVY, CALLAWAY DRYSPORT, FEDEXCUP",Donations,BLUE STRIPE,XL,2/29/16
