Item #,Quantity On Hand,Item,Item Description,,Color,Size,Date of Last Use
CUP2370   ,267,SELFIE STICK,BLACK: FEDEX CUP,Miscellaneous,BLACK,,8/6/15
CUP2602   ,"3,975",SHARPIE,"BLACK, FEDEXCUP FINE POINT RETRACTABLE",Miscellaneous,BLACK,,8/24/16
CUP2189   ,1,SHIPPING CASE,BLACK,Miscellaneous,BLACK,,9/5/14
CUP2143   ,5,SIGNAGE,"FEDEX INVITATIONAL AT PEBBLE BEACH: CLOSEST TO THE PIN: 18"" X 24""",Miscellaneous,,"18"" X 24""",4/17/15
CUP2144   ,3,SIGNAGE,"FEDEX INVITATIONAL AT PEBBLE BEACH: HOLE IN ONE: 18"" X 24""",Miscellaneous,,"18"" X 24""",4/17/15
CUP2308   ,75,SPEAKER,"BLUETOOTH, BLACK, FEDEX CUP",Miscellaneous,BLACK,,5/18/16
CUP1969   ,20,TERVIS TUMBLER,24 OZ; MUIRFIELD VILLAGE GOLF CLUB,Miscellaneous,,,10/4/12
CUP2599   ,1,TIFFANY BOX,"FLANNEL BAGS FOR TROPHY AND BASE, INSPECTION GLOVES INSIDE",Miscellaneous,,,8/24/16
CUP1313   ,1,TROPHY # 2,FEDEXCUP,Miscellaneous,,,6/14/16
CUP1314   ,1,TROPHY BASE # 2,FOR FEDEXCUP TROPHY,Miscellaneous,,,6/10/16
CUP2546   ,"4,940",WATER BOTTLE,"INSULATED, POLAR BOTTLE, FEDEX CUP",Miscellaneous,,24 OZ,7/13/16
CUP2371   ,1,WHITE BOARD,MAGNETIC: FEDEX CUP,Miscellaneous,,,8/6/15
CUP2307   ,344,WINE CARRIER,"2 BOTTLE, BLACK, FEDEX CUP",Miscellaneous,BLACK,,5/31/16
CUP2142   ,54,WINE SKIN,CLEAR : FEDEX,Miscellaneous,,,10/13/14
CUP2145   ,716,DUFFEL,OGIO: FEDEXCUP,Premium Give-aways,WHITE,,8/9/16
CUP1793   ,4,SKY CADDIE SG5 GPS,WITH TEMPORARY CART MOUNT,Premium Give-aways,,,1/21/13
CUP2550   ,1,BACKDROP,"FEDEX CARES, STEP AND REPEAT PATTERN",Signage,,,8/22/16
CUP2532   ,1,BANNER,"WHITE, FEDEXCUP, LARGE",Signage,WHITE,,3/4/16
CUP2311   ,1,DATED SIGNAGE,"MEET BILLY HORSCHEL, WED. JUNE 10",Signage,,,6/25/15
PGA1795   ,1,DRY ERASE BOARD,,Signage,,,8/6/07
CUP2531   ,7,PIN FLAG,"FEDEXCUP PLAYOFFS, PGA LOGO, WHITE, 2015",Signage,WHITE,,3/4/16
CUP1922   ,2,SIGN,"2-SIDED DIRENCTIONAL; WHITE & GRAY FEDEX LOGO, SIGN PURPLE, ARROWS WHITE",Signage,,,5/16/16
CUP2541   ,1,SIGN,"METAL, ""LOBBY SIGN"", 70W X 21H, FEDEX LOGO",Signage,,,5/4/16
CUP1976   ,1,SIGNAGE,PGA/FEDEXCUP;  WELCOME FEDEX GUESTS,Signage,BLACK,2' X 3',11/18/15
CUP1977   ,1,SIGNAGE,PGA/FEDEXCUP;  PRIVATE FUNCTION,Signage,BLACK,2' X 3',10/9/15
CUP1978   ,5,SIGNAGE,PGA/FEDEXCUP;  DIRECTION WITH VELCRO ARROWS,Signage,BLACK,2' X 3',11/18/15
CUP1979   ,1,SIGNAGE,PGA/FEDEXCUP;  FEDEX SALUTES SMALL BUSINESS,Signage,BLACK,2' X 3',10/11/13
CUP1990   ,2,SIGNAGE,PGA/FEDEXCUP;  HOSPITALITY SUITE,Signage,BLACK,2' X 3',11/18/15
CUP1995   ,1,SIGNAGE,BLACK 8 X 11 3/4 - CHECK IN,Signage,BLACK,8 X 11 3/4,9/25/14
SSJC0020  ,1,SIGNAGE,SJC MISCELLANEOUS,Signage,,,6/24/09
CUP1890   ,1,BAG,OGIO TERMINAL: BLACK,Staff Apparel,BLACK,,7/10/13
CUP2171   ,1,JACKET,"BLACK ZR, FEDEXCUP, SM",Staff Apparel,BLACK,SM,2/5/14
CUP2172   ,4,JACKET,"BLACK ZR, FEDEXCUP, MD",Staff Apparel,BLACK,MD,2/5/14
CUP2173   ,4,JACKET,"BLACK ZR, FEDEXCUP, LG",Staff Apparel,BLACK,LG,2/10/14
CUP2174   ,2,JACKET,"BLACK ZR, FEDEXCUP, XL",Staff Apparel,BLACK,XL,1/14/15
CUP2175   ,2,JACKET,"BLACK ZR, FEDEXCUP, 2X",Staff Apparel,BLACK,2X,2/5/14
CUP1501   ,9,"JACKET, LADIES","NIKE HALF ZIP, FEDEXCUP/PGA LOGOS",Staff Apparel,BLACK,SM,2/10/11
CUP1502   ,2,"JACKET, LADIES","NIKE HALF ZIP, FEDEXCUP/PGA LOGOS",Staff Apparel,BLACK,MD,1/18/11
CUP1503   ,8,"JACKET, LADIES","NIKE HALF ZIP, FEDEXCUP/PGA LOGOS",Staff Apparel,BLACK,LG,6/21/11
CUP1504   ,6,"JACKET, LADIES","NIKE HALF ZIP, FEDEXCUP/PGA LOGOS",Staff Apparel,BLACK,XL,4/19/12
CUP2274   ,1,LUGGAGE,"VICTORINOX CARRY ON SPECTRA DUAL CAPACITY, RED",Staff Apparel,RED,,12/2/14
CUP2539   ,10,LUGGAGE,"VICTORINOX, SPECTRA 2.0, 32.3""/82CM, 8 WHEELED, NAVY BLUE",Staff Apparel,NAVY BLUE,"32.3""/82CM",4/19/16
CUP2095   ,2,POLO,NIKE GOLF: WHITE: FEDEXCUP PLAYOFFS RIGHT CHEST; 2XL,Staff Apparel,WHITE,2XL,10/11/13
CUP2103   ,6,POLO,LADIES NIKE GOLF: WHITE: FEDEXCUP PLAYOFFS RIGHT CHEST; LG,Staff Apparel,WHITE,LG,10/11/13
CUP2104   ,5,POLO,LADIES NIKE GOLF: WHITE: FEDEXCUP PLAYOFFS RIGHT CHEST; XL,Staff Apparel,WHITE,XL,10/11/13
CUP1287   ,6,"STAFF ZR RAIN PANTS, LADIES","LG, BLACK, ZERO RESTRICTIONS",Staff Apparel,BLACK,LG,9/9/13
CUP1288   ,3,"STAFF ZR RAIN PANTS, LADIES","XL, BLACK, ZERO RESTRICTIONS",Staff Apparel,BLACK,XL,6/30/08
